Key,Language,Search Engine,Publication Year,Author,Title,Journal,Pages,Issue,Volume,Notes from Screening,Screened by,Study Area Region,Study Area Continent,Studied Taxa - Kingdom,Studied Taxa - Phylum,Studied Taxa - Class,Studied Taxa - Order,Studied Taxa - Family,Studied Taxa - Genus,Study Taxa - Species,Species of Conservation Concern?,Non-Native Species?,Topic Notes (if other),Analyses Notes (if other),Data Type Notes (if other),iNaturalist Data Role,iNaturalist Projects,No tags because,Notes,Entered by,Assigned to,Study Area Country,Paper Topic,Analyses Conducted,iNaturalist Data Type
5MYMJ9KT,english,Google Scholar,2018,"Vásquez-Restrepo, Juan D; Lapwong, Yingyod","Confirming the presence of a fourth species of non-native house gecko of the genus Hemidactylus Oken, 1817 (Squamata, Gekkonidae) in Colombia",Check List,665–669,4,14,NA,Corey,Springville in Alabama,South America,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,garnotii,No,Yes,NA,NA,NA,Minor Data Source,No,NA,NA,Levi,Levi,Colombia,"Species Distribution/Range, Biology/Behavior",Descriptive,Observation Data
5NF5NQ2V,english,Google Scholar,2020,"Lonsinger, Robert C; Kluever, Bryan M; Hall, Lucas K; Larsen, Randy T; Gese, Eric M; Waits, Lisette P; Knight, Robert N",Conservation of Kit Foxes in the Great Basin Desert: Review and Recommendations,Journal of Fish and Wildlife Management,679–698,2,11,iNaturalist data use in supplementry material and Figure 3 distribution,Brittany,NA,North America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,macrotis,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Corey,Corey,United States of America,Species Distribution/Range,Descriptive,Observation Data
5NLRWCXD,english,Google Scholar,2021,"Kasalo, Niko; Deranja, Maks; Adžić, Karmela; Sindaco, Roberto; Skejo, Josip",Discovering insect species based on photographs only,Journal of Orthoptera Research,173–184,2,30,NA,Jackson,Yambrasbamba,South America,Animalia,Arthropoda,Insecta,Orthoptera,Tetrigidae,Scaria,sp.,No,No,NA,NA,NA,Major Data Source,No,NA,"Species column includes ""sp."" as this paper describes the species without naming it. So it is to species level not genus, but doesn't include a species name.",Simon,Simon,Peru,"Species Distribution/Range, Species Discovery","Descriptive, Image Analysis, Species Distribution","Observation Data, Imagery"
5PCQB6UU,english,Google Scholar,2021,"Jasku\la, Radomir; Michalski, Marek; Marris, John WM","First records of the Palaestes abruptus Sharp, 1899 and P. nicaraguae Sharp, 1899 (Coleoptera: Cucujidae) from South America, with a checklist of flat bark beetles from the continent",Biodiversity Data Journal,264�276,3,9,obs used,Mark,NA,South America,Animalia,Arthropoda,Insecta,Coleoptera,Cucujidae,Palaestes,abruptus,No,Yes,NA,NA,NA,Main Data Source,No,NA,NA,Jackson,Jackson,United States,Species Distribution/Range,Species Distribution,Observation Data
5PMNWBI9,english,Google Scholar,2022,"Dunn, Robert R; Burger, Joseph Robert; Carlen, Elizabeth J; Koltz, Amanda M; Light, Jessica E; Martin, Ryan A; Munshi-South, Jason; Nichols, Lauren M; Vargo, Edward L; Yitbarek, Senay; others",A theory of city biogeography and the origin of urban species,Frontiers in Conservation Science,22,NA,2023,NA,Brittany,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Urban biogeography,NA,NA,Minor Data Source,No,NA,NA,Shawan,Shawan,NA,Other,Review,Observation Data
5QPRXG36,english,Google Scholar,2016,"Quintero-Díaz, Gustavo; Cardona-Arceo, Armando; Carbajal-Márquez, Rubén","The Great Plains Ratsnake, Pantherophis emoryi Baird & Girard, 1853,(Squamata: Colubridae), a new state record from Aguascalientes, MÃ©xico",Check List,1–16,3,12,NA,Thomas,Aguascalientes,North America,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,emoryi,No,No,NA,NA,NA,Major Data Source,No,NA,NA,Quentin,Quentin,Mexico,Species Distribution/Range,Species Distribution,Observation Data
5QTVHG39,english,Google Scholar,2020,"Auguste, Renoir J",Using citizen science to rapidly determine the distribution of exploited Green Iguanas (Iguana iguana) across urban areas in Trinidad and Tobago,Reptiles & Amphibians,419–421,3,27,iNaturalist one of the datasets used to map the distribution of a species.,Colleen,NA,South America,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Iguana,iguana,Yes,No,NA,NA,NA,Main Data Source,No,NA,NA,Baasanmunkh,Munkh,Trinidad and Tobago,"Species Distribution/Range, Species Discovery","Descriptive, Species Distribution",Observation Data
5QWA2KH7,english,Google Scholar,2020,"Pawson, SM; Sullivan, JJ; Grant, A",Expanding general surveillance of invasive species by integrating citizens as both observers and identifiers,Journal of Pest Science,1155–1166,2,93,NA,Brittany,NA,Oceania,Animalia,Arthropoda,Insecta,Coleoptera,Ptilodactylidae,Araeopidius�,monachus�,No,Yes,NA,NA,NA,Main Data Source,No,NA,"an overview type paper, but with some case studies",Corey,Corey,New Zealand,"Education/Community Engagement, Data Quality/Comparison","Descriptive, Review","Observation Data, Other"
5R7CJN97,english,Google Scholar,2022,"Dawn, Prosenjit","Dragonflies and damselflies (Insecta: Odonata) of West Bengal, an annotated list of species",Oriental Insects,81–117,1,56,NA,Brittany,West Bengal,Asia,Animalia,Arthropoda,Insecta,Odonata,NA,NA,NA,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Brittany,Brittany,India,Species Distribution/Range,Descriptive,Observation Data
5RIDIPUS,english,Google Scholar,2022,"Bowers, Brandon C; Hibbitts, Rachel L; Hibbitts, Toby J; Walkup, Danielle K; Ryberg, Wade A; Lopez, Roel R; Crump, Paul S","Fecundity, Female Maturation, and Nesting Season of Western Chicken Turtles (Deirochelys reticularia miaria) in Texas",Chelonian Conservation and Biology: Celebrating 25 Years as the World's Turtle and Tortoise Journal,225–234,2,21,NA,Brittany,Texas,North America,Animalia,Chordata,Reptilia,Testudines,Emydidae,Deirochelys,reticularia,No,No,NA,NA,NA,Minor Data Source,No,NA,miaria subspecies. Supplemented records of nesting events from iNaturalist,Corey,Corey,United States of America,Biology/Behavior,Image Analysis,Imagery
5TAX9VEU,english,Google Scholar,2022,"Rimšaitė, Jolanta; Ivinskis, Povilas; Bartkevičienė, Galina; Bernotienė, Rasa","The northward spread of the European mantis, Mantis religiosa (Mantodea: Mantidae): Data from Lithuania",European journal of entomology,318–326,3,118,NA,Brittany,Beagle Channel,Europe,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Mantis,religiosa,No,No,NA,NA,NA,Major Data Source,No,NA,NA,Shawan,Shawan,Argentina,Species Distribution/Range,Species Distribution,Observation Data
5U8B4YSN,english,Google Scholar,2021,"Mahapatra, Biswa Bhusana; Aravind, NA","Laevicaulis haroldi (Veronicellidae: Gastropoda), a potential future invader to India.",Current Science (00113891),356,11,120,strong obs used for modeling,Mark,NA,Oceania,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Asproinocybe,"daleyae, lyophylloides",No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Quentin,Marina,"New Zealand, Australia",Species Discovery,Species Distribution,Imagery
5U9UGZC8,english,Google Scholar,2022,"Portman, Zachary M; Arduser, Mike; Lane, Ian G; Cariveau, Daniel P","A review of the Augochloropsis (Hymenoptera, Halictidae) and keys to the shiny green Halictinae of the midwestern United States.",ZooKeys,NA,1130,NA,NA,Sam,Hawai'i,North America,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Augochloropsis,NA,No,No,NA,Sampling bias analysis,NA,Could Not Determine,No,NA,NA,Corey,Corey,United States of America,"Species Distribution/Range, Biodiversity/Population Assessment",Descriptive,"Observation Data, Imagery"
5UUDINX7,english,Google Scholar,2019,"Lindemann, Scott B; Putnam, David E; Hunter Jr, Malcolm L; Persons, Trevor B",Spotless burnsi pattern in Northern Leopard Frog (Lithobates pipiens) in Maine,The Canadian Field-Naturalist,193–195,3,133,NA,Corey,Maine,North America,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,pipiens,Yes,No,NA,NA,NA,Minor Data Source,No,NA,NA,Baasanmunkh,Munkh,United States of America,Species Distribution/Range,Species Distribution,Observation Data
5UVAPIKP,english,Google Scholar,2018,"Bosso, Luciano; Ancillotto, Leonardo; Smeraldo, Sonia; D’Arco, Sara; Migliozzi, Antonello; Conti, Paola; Russo, Danilo",Loss of potential bat habitat following a severe wildfire: a model-based rapid assessment,International Journal of Wildland Fire,756–769,11,27,NA,Corey,NA,Europe,Animalia,Chordata,Mammalia,Chiroptera,Cervidae,"Cervus, Dama","nippon, elaphus, dama",No,No,NA,NA,NA,Minor Data Source,No,NA,The article focuses on how wildfires affect bat populations in Italy,Levi,Levi,Italy,"Climate Change/Environmental Impact, Biodiversity/Population Assessment",Population Measure,Observation Data
5VX8JDWN,english,Google Scholar,2023,"Herodotou, Christothea; Ismail, Nashwa; I. Benavides Lahnstein, Ana; Aristeidou, Maria; Young, Alison N; Johnson, Rebecca F; Higgins, Lila M; Ghadiri Khanaposhtani, Maryam; Robinson, Lucy D; Ballard, Heidi L",Young people in iNaturalist: a blended learning framework for biodiversity monitoring,"International Journal of Science Education, Part B",1–28,NA,NA,NA,Brittany,NA,North America,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,No,No,NA,surveys,NA,Main Data Source,No,NA,Surveyed young people on their use of iNaturalist. No iNaturalist data was downloadeed,Brittany,Brittany,United States,Education/Community Engagement,"Descriptive, Other",None or Could Not Determine
5W5GQA95,english,Google Scholar,2022,"Serrano, Filipe C; Díaz-Ricaurte, Juan C; Martins, Marcio",Finding love in a hopeless place: A global database of misdirected amplexus in anurans,Ecology,e3737,8,103,NA,Brittany,NA,Global,Animalia,Chordata,Amphibia,Lepidoptera,Noctuidae,Spodoptera,frugiperda,No,No,NA,Dispersal modeling,NA,Minor Data Source,No,NA,Cool one about amplexus in amphibians,Corey,Corey,Global,Biology/Behavior,Image Analysis,Imagery
5WLWEYSD,english,Google Scholar,2020,"Paiero, Steve; Jones, Russ JL; Crosthwaite, Jill C; Pitman, Grace M",New Canadian records of Phyllopalus pulchellus Uhler and Hapithus agitator Uher (Orthoptera: Gryllidae) based on digital observations,The Journal of the Entomological Society of Ontario,19–23,NA,151,NA,Flo,NA,North America,Animalia,Arthropoda,Insecta,Orthoptera,Trigonidiidae,Phyllapalpus,pulchellus,No,No,NA,NA,NA,Main Data Source,No,NA,NA,Baasanmunkh,Munkh,Canada,Species Distribution/Range,"Species Distribution, Descriptive",Observation Data
5XW727NG,english,Google Scholar,2017,"Young, Alison N; Johnson, Rebecca F; Ricard, Elise; Wyatt, Ryan",Life responds: Citizen science to document behavior changes in plants and animals during the 2017 total solar eclipse,ASP Conference Series,463,2,48,seemingly doesn't mention iNaturalist at all - ctrl + F does not work on this paper,Thomas,NA,North America,"Animalia, Plantae",Arthropoda,Insecta,Odonata,Synthemistidae,Synthemis,eustalacta,No,No,NA,NA,NA,Main Data Source,Yes,NA,"Please check this article, my tag is right or not? Brittany: I updated tags",Baasanmunkh,Munkh,Australia,"Biology/Behavior, Education/Community Engagement",Review,"Observation Data, User Information"
5YFJ34WE,english,Google Scholar,2019,"RatzlaFF, CG",First record oF HARMOSTES FRATERCULUS (say)(Hemiptera: rHopalidae) in canada,The Journal of the Entomological Society of Ontario,27–29,NA,150,NA,Corey,Canada,North America,Animalia,Arthropoda,Insecta,Hemiptera,Rhopalidae,Harmostes,fraterculus,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Baasanmunkh,Munkh,United States of America,Species Distribution/Range,Species Distribution,Observation Data
62MIXGSF,english,Google Scholar,2020,"Kido, Allyson; Hood, Michael E",Mining new sources of natural history observations for disease interactions,American journal of botany,3,1,107,NA,Shawn,NA,Europe,"Fungi, Plantae","Basidiomycota, Tracheophyta","Microbotryomycetes, Magnoliopsida","Microbotryales, Caryophyllales","Microbotryaceae, Caryophyllaceae",Microbotryum ,subpinnata,Yes,No,NA,NA,NA,Major Data Source,No,NA,NA,Thomas,Thomas,NA,"Data Quality/Comparison, Species Distribution/Range, Biology/Behavior","Species Distribution, Image Analysis","Observation Data, Imagery"
62NCF7QM,english,Google Scholar,2020,"Wiles, Gary J; Pratt, H Douglas; Kastner, Martin; McKinlay, Glenn; Chojnacki, Janelle; Pendred, Megan M","Distribution, behaviour, and provenance of Oriental Dollarbirds Eurystomus orientalis in Micronesia, including the first two records from the Mariana Islands",Bulletin of the British Ornithologists’ Club,85–95,1,140,NA,Brittany,Micronesia,Oceania,Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Eurystomus,NA,No,No,NA,NA,NA,Main Data Source,No,NA,"The whole study looked at US and Canada, but iNat data was from US only, so I only mentioned US for study country (ditto for taxonomy; paper looked at plants and bees, but iNat data only included plants)",Marina,Marina,United States,Species Distribution/Range,Species Distribution,Observation Data
62SL8B5E,english,Google Scholar,2022,"Atoussi, Sadek; Razkallah, Imane; Zebsa, Rabah; Bensakhri, Zinette; Bara, Mouslim",Opportunistic citizen Science data as a fast and effective way for monitoring invasive species in developing countries,Journal of Wildlife and Biodiversity,e9916,X,6,NA,Brittany,NA,South America,Animalia,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,Minor Data Source,Yes,NA,NA,Thomas,Mark,Ecuador,Climate Change/Environmental Impact,Descriptive,Observation Data
63S45FM3,english,Google Scholar,2019,"Agudelo-Hz, William José; Urbina-Cardona, Nicolás; Armenteras-Pascual, Dolors",Critical shifts on spatial traits and the risk of extinction of Andean anurans: an assessment of the combined effects of climate and land-use change in Colombia,Perspectives in Ecology and Conservation,206–219,4,17,NA,Corey,Columbia,North America,Animalia,Chordata,Amphibia,Odonata,Calopterygidae,Calopteryx,splendens,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Baasanmunkh,Munkh,United States of America,"Climate Change/Environmental Impact, Species Distribution/Range",Species Distribution,Observation Data
648WZ9XW,english,Google Scholar,2023,"Arjona, José Manuel; Ibáñez-Álamo, Juan Diego; Sanllorente, Olivia",Mediterranean university campuses enhance butterfly (Lepidoptera) and beetle (Coleoptera) diversity,Frontiers in Ecology and Evolution,1130557,3,11,NA,Brittany,Granada,Europe,Plantae,Chordata,Mammalia,Chiroptera,NA,NA,NA,No,No,NA,NA,NA,Minor Data Source,No,NA,"They studied Lepidoptera and Coleoptera, but used plant data from iNaturalsit",Brittany,Brittany,Spain,Biodiversity/Population Assessment,Population Measure,Observation Data
65VEPNE5,english,Scopus,2022,"Smith, Megan L.; Wallace, Jessica; Tank, David C.; Sullivan, Jack; Carstens, Bryan C.",The role of multiple Pleistocene refugia in promoting diversification in the Pacific Northwest,Molecular Ecology,4402 – 4416,16,31,NA,Brittany,NA,North America,Animalia,Arthropoda,Insecta,Coleoptera,Silphidae,Nicrophorus,orbicollis,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Thomas,Mark,"United States, Canada",Species Distribution/Range,Species Distribution,Observation Data
673DZYB6,english,Google Scholar,2021,"Sin, S; Khin, C; Chhorn, S; Yok, G; Phak, S; Thou, S; Phauk, S",First record of the carrion beetle,Diamesus osculans,e9863,3,13,obs used to support new county records of beetle,Mark,NA,North America,Animalia,Chordata,Aves,Passeriformes,Corvidae,Calocitta,"colliei, formosa",No,No,NA,NA,NA,Major Data Source,No,NA,NA,Thomas,Marina,NA,"Biology/Behavior,
Data Quality/Comparison",Image Analysis,Imagery
67VSZFRV,english,Google Scholar,2021,"Paiero, Steve; Dombroskie, Jason; Pekor, Geoff; Preney, Thomas; Vandermeulen, Joshua; Conlin, Basil","First record oF the planthopper parasite moth FULGORAECIA EXIGUA (edwards)(lepidoptera: epipyropidae) in canada, with notes on its collection and hosts",The Journal of the Entomological Society of Ontario,81–86,4,152,NA,Shawn,NA,North America,Animalia,Arthropoda,Insecta,"Hemiptera, Lepidoptera","Acanaloniidae, Epipyropidae, Flatidae","Acanalonia, Fulgoraecia, Metcalfa","conica, exigua, pruinosa",No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Simon,Simon,Canada,Species Distribution/Range,Descriptive,Observation Data
67Z77HJS,english,Google Scholar,2022,"Peregrym, Mykyta; Turisová, Ingrid; Tashev, Alexander; Kónya, Erika Pénzesné; Matsai, Nataliia; Havryliuk, Yuliia",Using Citizen Science Tools for Distance Field Study of Botanical Cycle Disciplines in Times of Pandemic and Beyond,Journal of Teacher Education for Sustainability,19–33,2,24,NA,Brittany,Colordaro,North America,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Telesonix,jamesii,Yes,No,NA,NA,NA,Major Data Source,No,NA,NA,Thomas,Mark,United States,Species Distribution/Range,Species Distribution,Observation Data
688IGQSK,english,Google Scholar,2023,"Tiong, Anthony Meng Huat; Li, Junnan; Lin, Guosheng; Li, Boyang; Xiong, Caiming; Hoi, Steven CH",Improving tail-class representation with centroid contrastive learning,Pattern Recognition Letters,123–130,1,168,NA,Brittany,NA,South America,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,axyridis,No,No,visual classification,NA,NA,Minor Data Source,No,NA,NA,Sam,Sam,Chile,Other,Image Analysis,Imagery
68FLVDY6,english,Google Scholar,2022,"Klepzig, Kier D; Hartshorn, Jessica A; Tsalickis, Alexandra; Sheehan, Thomas N","Eye Gnat (Liohippelates, Diptera: Chloropidae) Biology, Ecology, and Management: Past, Present, and future",Journal of Integrated Pest Management,19,1,13,NA,Brittany,NA,South America,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Trichopoda,"pictipennis, arcuata",No,Yes,NA,NA,NA,Major Data Source,No,NA,NA,Sam,Mark,Chile,"Species Distribution/Range,
Biodiversity/Population Assessment","Species Distribution,
Population Measure",Observation Data
68M6WV57,english,Google Scholar,2022,"Iwanycki Ahlstrand, Natalie; Primack, Richard B; Tøttrup, Anders P",A comparison of herbarium and citizen science phenology datasets for detecting response of flowering time to climate change in Denmark,International Journal of Biometeorology,849–862,5,66,NA,Brittany,Brazilian Pampa,Europe,Plantae,Tracheophyta,"Liliopsida, Magnoliopsida","Asparagales, Sapindales, Dipsacales","Amaryllidaceae, Sapindaceae, Viburnaceae","Allium, Aesculus, Sambucus","ursinum, hippocastanum, nigra",No,No,NA,NA,NA,Major Data Source,No,NA,NA,Shawan,Shawan,Denmark,Climate Change/Environmental Impact,Species Distribution,Observation Data
699W7EJL,english,Google Scholar,2023,"Skejo, Josip; Yong, Sheyla; Bogić, Domagoj; Kasalo, Niko","Caribbean pygmy jumping leaves (Tetrigidae, Cladonotinae, Choriphyllini)",Deutsche Entomologische Zeitschrift,129–141,1,70,NA,Brittany,NA,North America,Animalia,Arthropoda,Insecta,Orthoptera,Tetrigidae,"Choriphyllum, Phylotettix",NA,No,No,visual classification,NA,NA,Minor Data Source,No,NA,NA,Thomas,Thomas,"The Bahamas, Cuba, Jamaica",Species Distribution/Range,Species Distribution,Observation Data
69KUHXRP,english,Google Scholar,2021,"Marochi, Murilo Zanetti; Costa, Tânia Marcia; Buckley, Lauren B",Ocean warming is projected to speed development and decrease survival of crab larvae,"Estuarine, Coastal and Shelf Science",107478,NA,259,NA,Thomas,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,visual classification,NA,NA,Minor Data Source,No,NA,NA,Sam,Marina,NA,Other,Image Analysis,Imagery
69YBFDKE,english,Google Scholar,2021,"Eiseman, Charles S","A Review of North American Records of Lepidoptera from Gaultheria Kalm Ex L.(Ericaceae), Including Three Species Newly Reported from Wintergreen (G. procumbens L.)",Proceedings of the Entomological Society of Washington,289–299,2,123,Brittany accessed and found relevant,Shawn,NA,North America,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,No,No,visual classification,NA,NA,Major Data Source,No,NA,NA,Thomas,Thomas,"United States of America, Canada",Species Distribution/Range,Descriptive,"Observation Data, Imagery"
6AW6CWKM,spanish,Google Scholar,2021,"Vanderplank, Sula E; Rebman, Jon","Trece malezas nuevas en Isla Cedros, Baja California, MÃ©xico",Acta Botanica Mexicana,1685�1694,128,238,NA,Flo,Cedros Island Baja California,North America,Plantae,Tracheophyta,NA,NA,NA,NA,NA,No,Yes,NA,NA,NA,Main Data Source,No,NA,NA,Flo,Flo,Mexico,"Species Distribution/Range, Data Quality/Comparison",Descriptive,"Observation Data, Identification Data"
6AWPTSYK,english,Google Scholar,2021,"Korábek, Ondřej; Juřičková, Lucie; Petrusek, Adam",Diversity of land snail tribe Helicini (Gastropoda: Stylommatophora: Helicidae): Where do we stand after 20 years of sequencing mitochondrial markers?,Diversity,24,1,14,light but sign obs and images used to make a point about extension of range and type of morphotype,Mark,New Zealand's North Island,Oceania,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,tristis,No,Yes,NA,NA,NA,Minor Data Source,No,NA,NA,Sam,Marina,New Zealand,Species Distribution/Range,Could Not Determine,None or Could Not Determine
6AWXNZGM,english,Google Scholar,2020,"Gómez-Bellver, Carlos; Ibáñez Cortina, Neus; Nualart, Neus; López-Pujol, Jordi",The recent neophyte Opuntia aurantiaca (Cactaceae): distribution and potential invasion in the Iberian Peninsula,Flora Mediterranea,377–390,2,30,NA,Brittany,Iberian peninsula,Europe,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,aurantiaca,No,Yes,NA,NA,NA,Major Data Source,No,NA,NA,Marina,Marina,Canada,Species Distribution/Range,Species Distribution,Observation Data
6BINU57J,english,Google Scholar,2021,"Di Gregorio, C; Iannella, M; Biondi, M","Revealing the role of past and current climate in shaping the distribution of two parapatric European bats, Myotis daubentonii and M. capaccinii",The European Zoological Journal,669–683,1,88,NA,Shawn,Rapa Nui (Easter Island),"Europe, Asia, Africa",Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,"capaccinii, daubentonii",Yes,No,NA,NA,NA,Major Data Source,No,NA,NA,Simon,Simon,Chile,Species Distribution/Range,Descriptive,Observation Data
6BXCM53A,english,Google Scholar,2021,"Xia, Zhiqiang; Barker, Justin R; Zhan, Aibin; Haffner, Gordon Douglas; MacIsaac, Hugh J",Golden mussel (Limnoperna fortunei) survival during winter at the northern invasion front implies a potential high-latitude distribution,Diversity and Distributions,1422–1434,8,27,obs used,Mark,NA,Europe,Animalia,Arthropoda,Insecta,Lepidoptera,Nepticulidae,Stigmella,naturnella,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Sam,Marina,NA,Species Distribution/Range,Descriptive,Observation Data
6CPHPGE2,english,Google Scholar,2022,"Lücking, Robert; Moncada, Bibiana; Widhelm, Todd J; Lumbsch, H Thorsten; Blanchon, Dan J; De Lange, Peter J",The Sticta filix-Sticta lacera conundrum (lichenized Ascomycota: Peltigeraceae subfamily Lobarioideae): unresolved lineage sorting or developmental switch?,Botanical Journal of the Linnean Society,706–727,3,199,NA,Brittany,NA,Oceania,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,"filix, lacera",No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Corey,Corey,New Zealand,Biology/Behavior,Descriptive,Imagery
6DSIDMMH,english,Google Scholar,2020,"Igić, Boris; Nguyen, Ivory; Fenberg, Phillip B","Nectar robbing in the trainbearers (Lesbia, Trochilidae)",PeerJ,e9561,NA,8,NA,Brittany,NA,South America,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Lesbia,"nuna, victoriae",No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Baasanmunkh,Munkh,Peru,"Species Distribution/Range, Biology/Behavior","Species Distribution, Descriptive",Observation Data
6DWRIK8R,english,Google Scholar,2023,"Narayanan, Surya; Das, Sandeep; Anvar, Y Muhammed; Tillack, Frank; Mohapatra, Pratyush P; Gower, David J; Rajkumar, KP; Deepak, V","On the taxonomic validity of Boiga whitakeri Ganesh et al., 2021 with new insights on Boiga dightoni (Boulenger, 1894)(Reptilia: Squamata: Colubridae)",Vertebrate Zoology,1–21,2,73,NA,Brittany,northern Trinidad,Asia,Animalia,Chordata,Reptilia,Squamata,Colubridae,Boiga,"dightoni, whitakeri",No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Jackson,Jackson,India,"Biology/Behavior, Species Distribution/Range","Image Analysis, Species Distribution","Imagery, Observation Data"
6DXQPTD4,english,Google Scholar,2020,"Conradie, Werner; Reeves, Brain; Mdoko, Sandile; Pamla, Lwandiso; Gxabhu, Oyama","Herpetological survey of the Ongeluksnek (Malekgalonyane) Nature Reserve on the foothills of the Drakensberg, Eastern Cape Province, South Africa",Herpetology Notes,717–730,1,13,NA,Brittany,Eastern Cape Province,Africa,Animalia,Chordata,"Reptilia, Amphibia","Squamata, Caudata",Lycosidae,Aglaoctenus,lagotis,No,No,NA,NA,NA,Major Data Source,No,NA,NA,Marina,Marina,South Africa,Biodiversity/Population Assessment,"Population Measure, Descriptive","Observation Data, Imagery"
6E6ER5WY,english,Google Scholar,2021,"Best, Lincoln; Marshall, Christopher J; Feuerborn, Cody; Kincaid, Sarah; Melathopoulos, Andony; Robinson, Samuel VJ",Oregon Bee Atlas: native bee findings from 2018,Catalog: Oregon State Arthropod Collection,97�104,1,5,tool and obs used,Mark,Oregon,North America,Animalia,Arthropoda,Insecta,Hymenoptera,Accipitridae,Pernis,ptilorhynchus,No,No,NA,NA,NA,Major Data Source,Yes,NA,"Couldn't find this article on UF lib or google scholar; Brittany got access, iNaturalist is used by volunteers to collect data for this project",Brittany,Sam,United States of America,"Species Distribution/Range, Biology/Behavior, Biodiversity/Population Assessment","Species Distribution, Population Measure",Observation Data
6EIWRM9U,english,Google Scholar,2022,"Yu, Bolshakov Sergey; Yu, Esengeldenova Alexandra; Juha, Kinnunen; Carl, Sundström; Yu, Svetasheva Tatiana; Massimo, Tabone; others",Crowdsourcing fungal biodiversity: Revision of iNaturalist observations in Northwestern Siberia,Nature Conservation Research. Заповедная наука,64–78,S1,7,NA,Brittany,Northwestern Siberia,Europe,Fungi,Chordata,Aves,NA,NA,NA,NA,Yes,No,NA,NA,NA,Main Data Source,Yes,NA,"Some data is from projects, some is not but they do analyze and disucss projects so I said ""yes"" for iNaturalist projects",Brittany,Brittany,Russia,"Species Distribution/Range, Data Quality/Comparison","Species Distribution, Descriptive","Observation Data, User Information, Identification Data"
6EZST9JD,english,Google Scholar,2021,"Egger, J MARK; Excoffier, PAUL","Castilleja ambigua var. heckardii (Orobanchaceae): A new variety from San Luis Obispo County, California",Phytoneuron,1–17,2,15,NA,Shawn,California,North America,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Castilleja,ambigua,Yes,No,NA,NA,NA,Major Data Source,No,NA,NA,Thomas,Thomas,United States of America,Species Discovery,"Descriptive, Species Distribution","Observation Data, Imagery"
6F65KQPA,english,Google Scholar,2021,"Dubaić, Jovana Bila; Raičević, Jovana; Plećaš, Milan; Lanner, Julia; Nikolić, Petar; Žikić, Vladimir; Stanisavljević, Ljubiša; Ćetković, Aleksandar",Further range expansion of the sculptured resin bee (Megachile sculpturalis) in Serbia and Bosnia & Herzegovina,Acta entomologica serbica,37–63,2,26,NA,Sam,NA,South America,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Thalurania,watertonii,Yes,No,NA,NA,NA,Minor Data Source,No,NA,NA,Sam,Levi,Brazil,"Species Distribution/Range,
Biodiversity/Population Assessment","Species Distribution,
Population Measure",Observation Data
6G4C8E95,english,Google Scholar,2018,"Shea, Elizabeth K; Sierwald, Petra; Bieler, Rüdiger; Rosenberg, Gary",Priorities and opportunities for digitizing mollusk collections,American Malacological Bulletin,171–176,2,36,maybe?,Corey,Campo Grande,North America,Animalia,Mollusca,Aves,Psittaciformes,Psittacidae,Ara,ararauna,No,No,NA,NA,NA,Could Not Determine,No,NA,NA,Levi,Levi,"United States of America, Canada",Data Quality/Comparison,Review,None or Could Not Determine
